
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      0     0.00       1.06       0.09    1416 …16 IFTranscriptSELFIngestor
      0     0.00       8.33       0.04   31004 …04 ImageIOXPCService
      0     0.00       8.38       0.03   31021 …21 ImageIOXPCService
      0     0.00      14.75      14.81     753   1 imagent
      0     0.00       9.88       0.58     785 785 ImageThumbnailExtension
      0     0.00       3.09       0.15    3493   1 IMAutomaticHistoryDeletionAgent
      0     0.00      12.00       4.20     806   1 IMDPersistenceAgent
      0     0.00       8.75       0.25     757   1 imklaunchagent
      0     0.00       2.38       0.08     996   1 IMTransferAgent
      0     0.00       4.08       0.75    1019   1 inputanalyticsd
      0     0.00       0.00       0.00    1052 …52 installcoordinationd
      0     0.00       0.00       0.00    1022 …22 installd
      0     0.00       3.03       1.37    1146   1 intelligencecontextd
      0     0.00      17.89      23.23    1147 …47 IntelligencePlatformComputeService
      0     0.00      10.22       0.21   19735   1 intelligenceplatformd
      0     0.00       5.55       2.63     712   1 intelligentroutingd
      0     0.00       0.00       0.00    1221 …21 InteractiveLegacyProfilesSubscriber
      0     0.00       0.84       0.12   19745 …45 InteractiveLegacyProfilesSubscriber
      0     0.00       0.00       0.00     347 347 IOMFB_bics_daemon
      0     0.00      18.89       0.13   31514   1 IOUIAgent
      0     0.00       0.00       0.00   30955 …55 IOUserBluetoothSerialDriver
      0     0.00       0.00       0.00   30956 …56 IOUserBluetoothSerialDriver
      0     0.00       0.00       0.00   30957 …57 IOUserBluetoothSerialDriver
      0     0.00       9.61       1.59     774   1 itunescloudd
      0     0.00       0.00       0.00     393 393 KernelEventAgent
      0     0.00       0.00       0.00     363 363 kernelmanagerd
      0     0.00       0.00       0.00     725 725 kernelmanager_helper
      0     0.00       0.00       0.00     353 353 keybagd
      0     0.00       4.98       1.37    1370   1 keyboardservicesd
      0     0.00       6.80       0.50    1058   1 Keychain Circle Notification
      0     0.00       2.78       0.13    1212   1 keychainsharingmessagingd
      0     0.00      17.47       5.43     625   1 knowledge-agent
      0     0.00       0.02       0.05     945 945 KonaSynthesizer
      0     0.00       0.00       0.00       1   1 launchd
      0     0.00       0.00       0.00     375 375 launchservicesd
      0     0.00       0.00       0.00    1225 …25 LegacyProfilesSubscriber
      0     0.00       0.78       0.14   19750 …50 LegacyProfilesSubscriber
      0     0.00       0.50       0.12     838   1 libvirtd
      0     0.00      10.33       5.33     634   1 linkd
      0     0.00       0.00       0.00     420 420 liquiddetectiond
      0     0.00       3.52       0.19     733   1 liveactivitiesd
      0     0.00       4.86       0.31     727   1 localizationswitcherd
      0     0.00       0.86       0.08     804 804 localspeechrecognition
      0     0.00       0.94       0.37     866 866 localspeechrecognition
      0     0.00       0.00       0.00     380 380 locationd
      0     0.00       1.03       0.07    1021   1 lockdownmoded
      0     0.00       4.06      12.34     648   1 lockoutagent
      0     0.00       0.00       0.00     332 332 logd
      0     0.00       0.00       0.00     404 404 logd_helper
      0     0.00       0.00       0.00   31352 …52 login
      0     0.00       0.00       0.00     391 391 logind
      0     0.00       0.86       0.02     886   1 loginitemregisterd
      0     0.00       0.02       0.01     718 718 LoginUserService
      0     0.00      62.03     178.99     408 408 loginwindow
      0     0.00       8.75       0.74   17132 …32 LookupViewService
      0     0.00       0.00       0.00     416 416 lsd
      0     0.00       9.38       6.31     632   1 lsd
      0     0.00       0.02       0.04     943 943 MacinTalkAUSP
      0     0.00     213.34     153.14   18668   1 Mail
      0     0.00       8.84       0.91     975   1 maild
      0     0.00       1.39       0.17   20296 …96 Managed Background Assets Helper Service
      0     0.00       5.19       1.31    1201   1 managedappdistributionagent
      0     0.00       0.00       0.00    1202 …02 managedappdistributiond
